price,rating,review_count,image_count,description_length,room_size,distance,wifi,ac,food,fake_listing
18795,4.14,301,11,484,238,6.76,0,0,0,0
3860,2.59,347,4,320,296,7.17,0,1,0,0
8390,4.07,419,2,94,124,12.47,1,1,0,0
24575,3.17,401,6,120,294,2.1,0,0,0,0
14964,3.25,73,14,160,590,0.9,1,1,1,0
14284,3.41,351,1,112,207,9.26,1,1,1,0
9265,3.1,17,7,138,333,2.93,1,1,0,0
19850,2.3,139,8,307,431,4.21,0,1,1,0
7426,2.93,114,5,128,243,14.66,1,0,1,0
24962,3.99,327,8,62,210,9.97,0,0,0,0
17423,4.0,224,5,155,583,12.91,1,1,0,0
14363,2.86,45,2,349,503,13.52,0,1,0,0
19023,3.38,438,9,236,263,2.26,1,1,0,0
11322,2.58,37,2,462,314,13.95,0,0,0,0
4685,2.63,205,1,414,210,13.06,1,0,0,0
3769,2.07,385,4,175,93,1.16,1,1,0,0
5433,4.69,8,12,58,459,14.67,0,0,1,0
8311,2.63,252,13,301,139,7.15,1,1,0,0
8051,2.68,107,3,347,371,14.63,0,1,1,0
9420,2.84,388,11,377,239,12.45,0,1,1,0
20568,2.38,97,5,45,526,6.88,1,1,0,0
23939,3.92,274,4,51,465,7.92,0,1,0,0
22769,2.23,70,5,65,149,4.49,0,0,1,0
9396,2.4,38,3,175,461,7.56,0,0,0,0
11666,3.93,297,13,263,304,2.06,1,0,1,0
21942,3.02,400,12,410,587,13.68,1,0,1,0
21431,4.12,446,2,54,119,10.84,0,0,1,0
5747,3.67,89,0,469,225,12.18,0,1,1,0
3189,2.77,429,4,297,445,8.2,1,0,1,0
22118,3.95,218,5,261,327,2.32,1,1,0,0
6005,2.35,106,4,425,91,8.29,0,0,1,0
24042,3.61,475,4,397,589,5.27,1,0,1,0
4899,3.31,403,11,278,324,0.65,0,0,0,0
4267,2.8,453,5,65,250,9.42,0,0,1,0
20912,3.81,391,3,453,111,12.88,1,0,0,0
14394,4.61,95,13,256,508,10.8,0,0,0,0
6556,5.0,402,11,27,114,3.74,0,1,1,0
6890,3.82,31,3,279,284,12.38,1,1,0,0
11838,3.21,125,10,290,463,4.99,1,0,1,0
17502,2.68,146,12,63,345,3.67,1,0,1,0
24777,2.77,279,7,257,522,14.44,0,0,1,0
13627,3.44,23,10,186,564,0.74,1,1,1,0
11792,3.1,439,7,395,549,2.93,0,0,1,0
13555,4.74,208,11,95,345,7.27,0,0,0,0
13253,3.1,119,2,176,188,2.92,0,1,0,0
11433,3.12,273,6,220,568,2.92,0,0,1,0
13233,3.15,139,14,253,257,9.7,1,1,1,0
14016,4.51,296,4,251,328,12.38,1,0,1,0
5612,3.95,342,4,465,84,10.09,0,0,1,0
24870,3.84,431,11,231,236,1.97,0,1,0,0
18787,3.0,81,12,437,309,13.48,1,0,1,0
20159,4.45,447,2,173,340,13.88,0,0,1,0
15206,2.12,399,1,387,400,4.57,0,1,0,0
11226,4.61,207,12,232,206,8.52,0,1,0,0
17541,3.54,483,2,106,107,7.54,0,1,0,0
6152,3.19,406,14,37,589,10.19,0,0,0,0
4585,3.49,469,6,210,307,14.68,1,0,0,0
6943,4.0,422,2,327,258,14.8,1,0,1,0
22457,2.04,32,14,73,367,7.88,1,1,1,0
4021,4.61,23,10,235,573,1.83,1,1,1,0
14653,3.34,60,12,61,344,5.35,0,1,1,0
13805,3.03,310,1,368,546,6.5,1,0,0,0
